slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
dress_08,셔츠원피스,dress,메가,마이크로,쇠퇴,-1.5461,0.4643,0.0443,0.1083,-0.2164,-0.1225,0.1145,1.6265,2.1505,0.0,100.0,24.0,262,52,1
dress_09,니트원피스,dress,메가,마이크로,도입,-1.476,-0.0104,0.0766,0.3242,-0.1254,0.2109,0.1031,0.9594,2.7027,0.0,100.0,20.0,262,52,1
dress_20,미니원피스,dress,마이크로,마이크로,도입,-1.002,-0.3044,0.0761,0.2265,0.0418,0.5897,0.2023,0.9154,2.1739,1.0,100.0,35.0,262,52,0
shoes_01,어글리슈즈,shoes,메가,마이크로,쇠퇴/잔존,-0.9173,1.5893,0.3444,0.1644,-0.5145,0.0728,0.0038,1.2093,5.5556,0.0,100.0,3.0,262,52,1
shoes_02,부츠,shoes,스테디,스테디,도입,0.2175,-0.86,0.3395,0.8211,0.0431,0.1691,0.2443,0.1526,2.7778,1.0,100.0,33.0,262,52,2
shoes_03,샌들,shoes,스테디,스테디,성장,0.3349,0.3547,0.441,0.9339,0.0982,0.1277,0.187,0.2071,5.2632,1.0,100.0,80.0,262,52,2
shoes_04,슬리퍼,shoes,스테디,스테디,성장,2.1629,-1.3099,0.3549,0.5903,0.0262,0.1414,0.6374,0.1347,1.8519,1.0,100.0,64.0,262,52,2
shoes_05,스니커즈,shoes,메가,메가,도입,2.679,-1.16,0.7064,0.3206,-0.0919,0.1734,0.4618,0.1546,2.1277,0.0,100.0,39.0,262,52,1
shoes_06,로퍼,shoes,스테디,메가,도입,-0.5489,-0.8808,0.2312,0.1743,0.0848,0.1594,0.1718,0.2101,2.5974,1.0,100.0,37.0,262,52,2
shoes_07,메리제인,shoes,스테디,마이크로,성장,0.824,-0.6289,0.5391,0.4507,0.1972,0.1852,0.2099,0.2942,2.9412,1.0,100.0,60.0,262,52,2
shoes_09,첼시부츠,shoes,메가,스테디,쇠퇴/잔존,0.0403,-0.5409,0.3552,0.7324,-0.1165,0.0619,0.1947,0.2965,3.125,0.1916,100.0,18.0,262,52,1
shoes_10,어그,shoes,스테디,스테디,도입,0.5878,1.8726,0.6154,0.9054,0.2586,0.12,0.0992,0.2903,8.3333,1.0,100.0,14.0,262,52,2
shoes_11,크록스,shoes,스테디,스테디,쇠퇴/잔존,-0.1121,-0.8078,0.2732,0.8287,0.036,0.0714,0.229,0.1666,2.8571,1.0,100.0,44.0,262,52,2
shoes_12,뮬,shoes,스테디,메가,정점/성숙,5.2389,-1.4849,0.8381,0.2569,0.1216,0.0791,0.8893,0.0873,1.5873,1.0,100.0,79.0,262,52,2
shoes_15,워커,shoes,메가,마이크로,쇠퇴/잔존,-1.6771,0.5834,0.1194,0.2312,-0.0518,0.012,0.0267,0.4157,5.2632,0.2874,100.0,18.0,262,52,1
